timestamp,open,high,low,close,volume
2019-02-02,3436.6,3494.1,3414.0,3466.0,1347.49342036
2019-02-03,3467.7,3472.9,3388.6,3415.2,1300.82888033
2019-02-04,3416.6,3437.8,3396.9,3413.9,1359.62990401
2019-02-05,3411.0,3433.7,3397.8,3429.5,1429.38685442
2019-02-06,3430.0,3445.0,3337.0,3367.4,2289.49121231
2019-02-07,3367.2,3382.4,3348.1,3357.1,1512.88380802
2019-02-08,3359.5,3704.9,3341.4,3622.1,4231.50646809
2019-02-09,3624.0,3744.2,3589.6,3625.8,1780.95916756
2019-02-10,3625.7,3656.9,3578.2,3650.9,1114.66941941
2019-02-11,3647.3,3650.7,3577.7,3591.7,1388.71175715
2019-02-12,3591.0,3620.0,3538.2,3588.9,1383.23014194
2019-02-13,3585.4,3632.2,3560.0,3579.8,987.62604441
2019-02-14,3576.0,3589.3,3532.1,3562.4,835.12172617
2019-02-15,3560.6,3616.1,3546.9,3567.4,946.7885752
2019-02-16,3567.8,3613.3,3565.3,3580.1,964.91632521
2019-02-17,3583.9,3675.0,3552.7,3625.1,1433.44347746
2019-02-18,3627.7,3926.0,3617.1,3870.7,4873.97405577
2019-02-19,3870.1,3975.0,3838.2,3888.1,3326.31517672
2019-02-20,3890.6,3961.6,3865.7,3943.2,2074.00438324
2019-02-21,3938.6,3986.0,3863.2,3897.1,1838.5870069
2019-02-22,3897.0,3954.6,3884.9,3941.2,1714.98412867
2019-02-23,3940.4,4160.1,3911.0,4113.3,2943.73108279
2019-02-24,4111.1,4190.3,3625.0,3732.2,4240.4510935
2019-02-25,3732.4,3860.3,3732.3,3819.8,2325.62212569
2019-02-26,3819.6,3829.9,3764.0,3796.7,1890.39867573
2019-02-27,3791.8,3827.9,3652.6,3799.1,2805.95989959
2019-02-28,3797.8,3885.0,3756.4,3793.6,2010.80506465
2019-03-01,3793.7,3843.0,3785.8,3804.9,964.32145291
2019-03-02,3804.9,3817.4,3754.3,3810.1,528.89856765
2019-03-03,3813.5,3822.4,3755.4,3785.7,1199.10931344
2019-03-04,3785.7,3805.2,3670.9,3700.1,2280.64433456
2019-03-05,3700.0,3875.1,3690.6,3844.9,2289.0999925
2019-03-06,3845.0,3895.7,3805.0,3851.7,1552.14139273
2019-03-07,3851.6,3891.4,3829.9,3854.0,1882.24990116
2019-03-08,3854.0,3910.0,3760.3,3840.5,1884.20428597
2019-03-09,3840.5,3947.0,3836.7,3919.2,1652.40926475
2019-03-10,3916.1,3916.3,3863.7,3904.5,698.94382321
2019-03-11,3900.7,3911.2,3815.5,3851.2,1262.86118253
2019-03-12,3852.0,3879.6,3800.5,3863.1,1574.06311771
2019-03-13,3865.2,3873.5,3828.8,3852.8,881.79474838
2019-03-14,3851.6,3907.0,3782.0,3856.9,1236.3796374
2019-03-15,3856.6,3909.8,3847.8,3900.3,1128.43467216
2019-03-16,3900.1,4042.5,3899.9,3989.2,2160.35937378
2019-03-17,3989.5,3989.6,3937.4,3965.0,745.65446633
2019-03-18,3963.4,4019.9,3935.2,3969.6,1642.10131711
2019-03-19,3969.6,4010.0,3950.0,3999.9,1336.75471401
2019-03-20,3998.4,4048.8,3963.4,4033.0,2045.27473529
2019-03-21,4031.7,4064.4,3871.3,3974.3,2388.3976248
2019-03-22,3972.5,3999.0,3960.0,3984.1,1103.81827614
2019-03-23,3981.6,4000.0,3961.3,3982.4,736.79176036
2019-03-24,3980.4,3981.3,3946.7,3969.7,707.49922392
2019-03-25,3967.9,3976.6,3855.5,3906.0,2115.10591563
2019-03-26,3908.0,3921.6,3882.9,3918.8,1409.65973844
2019-03-27,3915.7,4037.3,3913.0,4026.1,2228.45823286
2019-03-28,4025.0,4025.0,3994.9,4013.7,1319.06479382
2019-03-29,4013.4,4100.0,4005.9,4088.9,2139.49520096
2019-03-30,4089.9,4130.0,4040.0,4090.9,1203.701439
2019-03-31,4092.2,4100.0,4073.7,4095.1,615.80523918
2019-04-01,4095.1,4148.6,4051.7,4137.8,2757.82205062
2019-04-02,4137.9,5142.9,4133.1,4902.9,10675.20887975
2019-04-03,4899.4,5362.7,4751.0,4972.2,9109.42654442
2019-04-04,4971.3,5075.1,4782.1,4907.7,4097.31486554
2019-04-05,4914.8,5091.9,4886.0,5038.1,2001.30591582
2019-04-06,5037.4,5240.0,4895.9,5036.4,2242.80037391
2019-04-07,5044.1,5270.0,5015.7,5189.3,2552.31706093
2019-04-08,5194.4,5359.8,5125.5,5285.1,3174.13644998
2019-04-09,5287.7,5287.7,5144.9,5190.8,2519.97308079
2019-04-10,5191.9,5464.0,5169.9,5320.5,4238.8099458
2019-04-11,5320.4,5342.2,4960.1,5041.7,3746.33595885
2019-04-12,5040.7,5115.9,4920.0,5081.1,1996.74263041
2019-04-13,5075.1,5122.0,5036.9,5069.3,1198.74414851
2019-04-14,5065.5,5190.1,5008.0,5153.3,919.81572982
2019-04-15,5162.6,5188.2,4942.8,5041.4,1997.4316129
2019-04-16,5030.3,5245.0,5017.9,5204.0,2807.57292657
2019-04-17,5204.0,5300.0,5175.1,5225.0,1665.10087491
2019-04-18,5224.9,5325.0,5222.1,5282.8,2070.21095404
2019-04-19,5281.0,5366.5,5191.9,5286.0,1908.30782418
2019-04-20,5285.9,5359.0,5257.0,5316.5,1376.33684195
2019-04-21,5318.5,5347.8,5200.0,5295.2,1359.58580151
2019-04-22,5294.7,5453.3,5245.0,5384.0,2912.60125281
2019-04-23,5384.0,5645.0,5363.3,5530.1,4053.77707391
2019-04-24,5525.4,5627.9,5375.3,5444.2,2896.04359536
2019-04-25,5442.0,5510.5,4357.1,5131.8,4677.9824735
2019-04-26,5128.7,5290.0,5043.3,5153.0,4036.15084528
2019-04-27,5154.5,5216.5,5116.7,5168.5,1650.06779725
2019-04-28,5169.8,5215.4,5100.2,5158.9,1187.83171064
2019-04-29,5156.2,5194.2,5061.1,5149.0,1679.76139881
2019-04-30,5152.8,5297.0,5132.0,5273.0,2809.11786087
2019-05-01,5272.2,5358.9,5270.0,5324.1,2443.44683543
2019-05-02,5323.2,5421.7,5311.3,5390.5,2110.26927865
2019-05-03,5390.0,5796.0,5368.7,5660.0,5333.9467308
2019-05-04,5658.8,5840.0,5525.0,5763.5,4734.71011649
2019-05-05,5765.6,5779.9,5627.6,5719.3,1638.09277734
2019-05-06,5719.1,5752.0,5563.4,5687.4,2505.17851499
2019-05-07,5687.6,5967.8,5687.6,5745.2,4190.39277892
2019-05-08,5746.5,5983.2,5660.0,5942.1,2474.47199508
2019-05-09,5949.7,6174.0,5933.2,6151.4,4525.93390033
2019-05-10,6151.4,6430.0,6110.1,6339.1,5606.9706086
2019-05-11,6339.5,7450.0,6338.0,7201.0,10134.25699831
2019-05-12,7207.9,7588.0,6724.1,6975.7,9314.25359236
2019-05-13,6970.1,8169.3,6870.0,7816.4,11516.04229732
2019-05-14,7817.5,8336.9,7620.0,7993.7,9676.21612657
2019-05-15,7988.9,8296.9,7829.6,8203.0,5522.8745821
2019-05-16,8201.5,8370.0,7650.0,7880.7,7538.00122759
2019-05-17,7883.6,7946.2,6636.0,7350.1,10059.52742228
2019-05-18,7353.9,7494.2,7205.0,7265.0,2847.92336383
2019-05-19,7265.8,8300.0,7261.4,8194.9,7146.23307883
2019-05-20,8191.1,8198.2,7567.2,8005.0,6107.53795634
2019-05-21,7999.2,8116.0,7807.0,7951.9,3632.68909587
2019-05-22,7951.7,8050.0,7510.0,7620.0,4495.65715766
2019-05-23,7623.1,7986.6,7470.0,7878.9,4686.80628914
2019-05-24,7880.5,8173.7,7800.3,8000.0,4597.59543627
2019-05-25,8000.0,8161.0,7951.1,8066.5,1449.14318941
2019-05-26,8067.4,8788.0,7896.2,8736.3,4787.73803801
2019-05-27,8733.0,8953.4,8662.7,8780.7,4305.94429678
2019-05-28,8773.0,8814.6,8200.0,8720.1,3790.01501785
2019-05-29,8720.1,8752.4,8429.1,8663.2,2946.88974724
2019-05-30,8664.1,9094.4,7988.8,8269.6,6563.46004262
2019-05-31,8272.0,8591.1,8110.1,8555.5,4203.86260512
2019-06-01,8552.9,8622.5,8461.6,8549.9,1558.3465453
2019-06-02,8549.5,8841.3,8542.3,8742.5,2264.58474326
2019-06-03,8740.0,8746.0,8039.0,8120.0,9017.51715884
2019-06-04,8103.6,8104.7,7425.0,7670.0,14416.39550153
2019-06-05,7668.9,7934.8,7565.0,7787.1,7857.73218301
2019-06-06,7787.8,7875.0,7440.0,7804.3,8129.11479644
2019-06-07,7799.0,8131.6,7765.0,8000.5,6580.7528797
2019-06-08,8000.0,8060.6,7785.2,7928.7,3423.3720368
2019-06-09,7928.6,7960.0,7510.0,7642.1,4243.52930192
2019-06-10,7638.5,8076.7,7525.0,8019.9,7215.60581891
2019-06-11,8019.4,8052.0,7715.0,7921.4,6846.67992666
2019-06-12,7922.2,8286.8,7823.1,8171.0,8081.90839436
2019-06-13,8171.0,8344.9,8005.0,8237.6,5762.34175582
2019-06-14,8237.6,8740.0,8175.0,8694.0,7257.80726429
2019-06-15,8694.0,8912.0,8620.3,8856.8,5293.9358883
2019-06-16,8857.0,9390.0,8456.0,8976.1,12551.75925319
2019-06-17,8976.0,9470.0,8971.9,9335.0,8436.74202351
2019-06-18,9335.0,9355.0,8943.0,9080.5,6320.07604985
2019-06-19,9077.3,9323.3,9040.0,9277.1,4408.22300671
2019-06-20,9282.1,9600.0,9213.2,9534.3,6475.26400109
2019-06-21,9533.2,10250.0,9533.2,10219.2,9099.70690374
2019-06-22,10216.2,11216.8,10000.0,10663.8,12842.48586265
2019-06-23,10663.6,11286.8,10474.0,10814.1,5943.46891708
2019-06-24,10812.1,11102.6,10511.0,11020.6,5457.41272587
2019-06-25,11023.9,11800.0,11007.5,11765.1,11623.88144358
2019-06-26,11765.1,13875.7,11540.1,12933.7,25637.82859518
2019-06-27,12933.2,13360.9,10300.0,11148.0,25035.66966057
2019-06-28,11161.9,12450.0,10723.3,12360.0,13815.53621372
2019-06-29,12370.0,12436.2,11172.6,11865.1,10990.60288378
2019-06-30,11865.1,12200.0,10650.0,10752.3,10959.68537569
2019-07-01,10749.4,11239.0,9900.0,10575.9,14633.39438537
2019-07-02,10578.7,10947.3,9666.0,10837.3,15317.90208157
2019-07-03,10837.2,12037.0,10807.3,11979.8,16123.60034549
2019-07-04,11984.7,12064.4,10601.0,11148.3,7856.19947708
2019-07-05,11145.0,11482.9,10736.0,11006.0,8055.43677022
2019-07-06,10988.7,11728.5,10945.6,11233.5,5353.27428748
2019-07-07,11234.2,11631.2,11000.0,11480.7,4619.32546455
2019-07-08,11481.5,12404.6,11323.7,12298.0,7494.77812687
2019-07-09,12299.7,12826.5,12127.0,12570.5,8812.14375715
2019-07-10,12562.9,13197.8,11555.0,12096.2,12774.21431449
2019-07-11,12096.0,12096.0,10957.0,11343.5,13431.14583169
2019-07-12,11346.1,11930.2,11091.3,11798.1,7210.26042024
2019-07-13,11804.0,11844.5,10800.1,11381.5,7153.01536348
2019-07-14,11381.5,11461.1,10275.1,10621.1,7554.98168904
2019-07-15,10622.7,11078.3,9789.0,10840.4,9896.55364709
2019-07-16,10840.8,11038.1,9365.0,9420.3,14549.88976143
2019-07-17,9420.5,9979.4,9099.0,9703.9,13073.68165922
2019-07-18,9701.3,10800.0,9250.1,10636.6,13028.99664647
2019-07-19,10647.2,10775.0,10122.0,10535.2,7418.36136261
2019-07-20,10530.8,11210.0,10379.5,10774.9,6939.80734523
2019-07-21,10774.7,10842.2,10188.0,10595.3,5461.71221755
2019-07-22,10595.3,10685.1,10071.0,10323.9,6592.61341474
2019-07-23,10324.0,10328.9,9800.0,9840.6,7956.17264384
2019-07-24,9840.6,9919.6,9500.1,9769.8,8280.4741517
2019-07-25,9770.0,10187.4,9734.6,9878.0,5604.36102566
2019-07-26,9878.0,9911.3,9625.2,9852.0,4320.29943763
2019-07-27,9850.9,10204.6,9269.1,9471.8,6349.4388301
2019-07-28,9472.8,9630.0,9120.0,9531.7,3862.18796917
2019-07-29,9536.2,9709.7,9375.0,9499.9,4104.96177138
2019-07-30,9495.4,9766.1,9381.3,9594.1,3996.7021489
2019-07-31,9594.0,10135.8,9575.0,10090.1,6067.91115085
2019-08-01,10090.3,10530.0,9882.4,10408.9,6555.68652868
2019-08-02,10408.9,10665.4,10327.9,10531.5,5203.22201179
2019-08-03,10532.7,10928.0,10507.0,10809.9,3958.82486203
2019-08-04,10809.9,11078.7,10539.9,10972.4,4989.39900931
2019-08-05,10977.6,11940.0,10973.0,11799.6,8456.18018477
2019-08-06,11799.6,12340.0,11200.0,11458.8,10983.92645999
2019-08-07,11458.1,12173.8,11387.0,11962.7,9518.03243373
2019-08-08,11973.3,12065.0,11472.6,11982.6,5503.28967046
2019-08-09,11992.9,12042.0,11660.0,11857.6,4972.62735052
2019-08-10,11859.6,11975.0,11230.2,11284.7,5075.90454317
2019-08-11,11280.0,11581.0,11101.9,11526.7,3242.58542379
2019-08-12,11539.7,11550.2,11235.0,11384.2,2521.40994313
2019-08-13,11386.0,11442.6,10751.0,10857.0,5530.49168914
2019-08-14,10855.1,10862.0,9900.0,10018.0,9345.62962355
2019-08-15,10018.0,10450.0,9490.0,10304.5,11725.54421272
2019-08-16,10300.9,10535.0,9728.0,10362.1,8443.90114207
2019-08-17,10362.2,10475.0,9999.9,10211.8,3766.05859122
2019-08-18,10211.8,10502.4,10065.0,10326.4,2908.43736041
2019-08-19,10325.0,10950.0,10267.5,10921.8,5196.35981986
2019-08-20,10921.4,10959.0,10560.1,10759.9,3828.56520889
2019-08-21,10759.9,10800.0,9853.2,10125.0,8841.95813426
2019-08-22,10125.0,10233.9,9752.2,10107.9,6511.37064984
2019-08-23,10105.2,10478.6,10037.7,10406.3,4021.567157
2019-08-24,10407.5,10421.4,9883.4,10140.5,4180.40112259
2019-08-25,10148.7,10398.6,9910.1,10134.5,4209.49104422
2019-08-26,10142.1,10697.9,10142.1,10364.6,7297.68866568
2019-08-27,10364.4,10387.9,10033.0,10177.3,3401.11595726
2019-08-28,10180.0,10297.7,9533.0,9716.1,6687.99385334
2019-08-29,9714.9,9714.9,9307.8,9484.3,5907.22044466
2019-08-30,9484.7,9708.0,9350.5,9578.0,4391.33914057
2019-08-31,9577.9,9690.0,9400.0,9604.3,1980.08707079
2019-09-01,9602.1,9850.0,9540.8,9764.9,2143.79286394
2019-09-02,9765.0,10490.0,9752.8,10389.5,6360.47932096
2019-09-03,10389.6,10785.6,10271.6,10614.6,7101.50581787
2019-09-04,10619.7,10892.1,10319.0,10584.9,6149.09377268
2019-09-05,10585.0,10662.4,10457.3,10574.9,3484.58759942
2019-09-06,10577.5,10947.0,10145.3,10311.8,8328.94549932
2019-09-07,10307.5,10569.1,10307.5,10483.4,2190.39254856
2019-09-08,10483.3,10599.1,10240.9,10408.6,2078.25440436
2019-09-09,10398.9,10523.0,10051.0,10314.5,4756.56870284
2019-09-10,10309.2,10388.0,9938.1,10094.5,4302.89474056
2019-09-11,10097.0,10250.0,9886.5,10160.7,5419.95480161
2019-09-12,10161.0,10479.9,10040.1,10420.0,4997.36568605
2019-09-13,10419.8,12000.0,8000.0,10362.1,4222.08556358
2019-09-14,10362.2,10440.0,10210.7,10363.2,2090.84296902
2019-09-15,10363.5,10380.0,10270.1,10311.3,1231.07158466
2019-09-16,10311.3,10374.7,10000.0,10260.6,3342.93445037
2019-09-17,10260.7,10276.3,10134.7,10190.0,2862.78629
2019-09-18,10188.0,10259.9,10041.8,10157.6,2947.65276632
2019-09-19,10157.7,10375.0,9633.8,10274.4,6317.87392557
2019-09-20,10274.4,10310.0,10069.0,10173.3,2979.57136009
2019-09-21,10173.8,10175.1,9903.7,9978.4,2133.83021089
2019-09-22,9980.0,10080.0,9850.0,10029.1,2127.34441348
2019-09-23,10029.2,10045.4,9615.0,9686.9,4041.35507992
2019-09-24,9696.0,9776.0,8046.0,8536.7,16439.01384206
2019-09-25,8535.0,8743.6,8000.0,8439.0,10165.91765298
2019-09-26,8439.0,8465.7,7730.0,8060.3,10824.42109647
2019-09-27,8063.0,8290.0,7850.0,8196.0,7405.79814858
2019-09-28,8195.9,8426.0,8024.9,8213.5,3824.92774834
2019-09-29,8214.0,8240.3,7909.0,8053.1,4937.63306462
2019-09-30,8053.3,8363.0,7655.0,8310.0,7532.44669163
2019-10-01,8310.0,8540.0,8201.8,8323.0,7856.25020541
2019-10-02,8323.0,8389.0,8168.2,8382.3,3884.72475803
2019-10-03,8382.2,8411.7,8070.1,8238.1,5110.21641641
2019-10-04,8245.4,8248.0,8001.0,8152.2,3962.29288913
2019-10-05,8155.0,8211.4,8023.3,8148.4,2165.33338854
2019-10-06,8150.8,8181.6,7780.0,7863.0,4761.79735033
2019-10-07,7863.0,8316.2,7769.7,8213.4,6458.49396534
2019-10-08,8213.4,8348.0,8112.1,8189.6,3839.86688141
2019-10-09,8180.2,8690.0,8118.1,8590.8,6095.51566733
2019-10-10,8589.9,8660.0,8456.8,8588.6,4491.79646465
2019-10-11,8588.6,8932.5,8230.3,8270.6,6684.48836003
2019-10-12,8269.3,8419.9,8265.0,8305.1,1335.94794356
2019-10-13,8305.1,8470.5,8144.4,8280.0,2659.77926754
2019-10-14,8280.0,8421.6,8214.6,8354.6,2175.19513106
2019-10-15,8354.6,8419.1,8060.5,8164.5,3446.28557862
2019-10-16,8164.5,8176.2,7916.0,8000.0,4175.76513585
2019-10-17,8000.1,8136.4,7938.8,8077.1,3371.34839504
2019-10-18,8077.1,8113.9,7821.0,7956.4,4812.45299948
2019-10-19,7956.3,8104.7,7878.6,7958.9,2506.19289998
2019-10-20,7960.0,8305.0,7882.5,8240.2,3549.21261809
2019-10-21,8240.1,8387.3,8136.0,8217.8,3238.66567053
2019-10-22,8210.3,8325.0,8000.0,8020.6,4402.04347714
2019-10-23,8020.6,8050.3,7302.0,7475.0,9256.02935576
2019-10-24,7473.9,7520.0,7360.0,7428.5,3888.4684821
2019-10-25,7426.4,8788.0,7400.0,8665.2,11146.74642007
2019-10-26,8669.4,10580.5,8646.6,9258.2,21100.98544246
2019-10-27,9261.7,9821.0,9106.3,9543.1,8972.37687837
2019-10-28,9554.1,9936.5,9187.6,9218.7,7774.23664903
2019-10-29,9217.1,9563.8,9030.0,9435.7,6443.02327089
2019-10-30,9435.1,9435.3,9000.0,9166.2,4885.88440327
2019-10-31,9163.9,9459.7,8949.6,9146.7,5161.90035164
2019-11-01,9151.9,9323.4,9058.1,9258.9,3424.08898477
2019-11-02,9258.2,9392.0,9204.4,9303.6,2319.75219001
2019-11-03,9303.6,9383.7,9080.0,9209.3,1976.07497804
2019-11-04,9209.9,9600.0,9130.0,9415.3,4210.55547002
2019-11-05,9415.2,9534.7,9175.0,9315.4,3879.89314136
2019-11-06,9313.0,9444.0,9255.0,9338.4,2425.04943523
2019-11-07,9339.6,9375.0,9084.9,9205.0,2735.36761936
2019-11-08,9205.0,9247.6,8675.0,8766.0,6097.43096545
2019-11-09,8765.9,8877.2,8721.0,8812.0,1669.90248078
2019-11-10,8812.1,9147.6,8751.7,9039.1,2916.52294666
2019-11-11,9039.0,9068.2,8610.0,8717.0,3855.37696814
2019-11-12,8717.0,8868.1,8560.0,8812.8,3351.9603215
2019-11-13,8812.8,8839.7,8709.6,8762.1,1944.95884718
2019-11-14,8763.9,8785.0,8561.0,8632.1,2648.09074564
2019-11-15,8632.0,8780.0,8375.4,8456.0,4632.18232862
2019-11-16,8455.9,8530.0,8430.0,8485.1,1557.17076091
2019-11-17,8487.0,8630.0,8363.5,8503.2,2173.98903092
2019-11-18,8503.2,8503.2,8030.0,8170.1,5103.11313161
2019-11-19,8168.8,8198.7,7987.2,8122.1,3917.41024362
2019-11-20,8124.9,8220.0,8030.0,8083.1,3329.92013303
2019-11-21,8083.1,8116.5,7399.0,7619.1,7275.88164828
2019-11-22,7619.1,7719.3,6761.0,7284.8,13608.7453629
2019-11-23,7284.7,7339.9,7105.2,7322.6,3450.73182725
2019-11-24,7322.5,7344.0,6836.9,6903.9,5289.08708673
2019-11-25,6903.9,7372.6,6525.0,7127.8,11883.52113364
2019-11-26,7125.8,7340.0,7025.0,7161.6,5289.8958885
2019-11-27,7161.6,7676.9,6854.5,7525.9,10280.36034579
2019-11-28,7523.8,7654.0,7373.2,7427.9,5151.04888594
2019-11-29,7427.9,7867.5,7412.4,7756.8,5710.64889357
2019-11-30,7756.6,7810.0,7452.1,7558.9,3783.84486788
2019-12-01,7558.9,7558.9,7228.8,7398.4,5458.62057674
2019-12-02,7398.3,7426.7,7160.1,7305.8,4088.18681186
2019-12-03,7304.0,7410.0,7245.0,7294.1,2968.6713419
2019-12-04,7299.5,7800.6,7068.2,7190.5,8221.35626433
2019-12-05,7196.2,7488.8,7157.9,7394.0,5740.72927962
2019-12-06,7395.0,7611.3,7311.0,7545.7,4660.87827212
2019-12-07,7546.3,7630.0,7491.3,7509.2,1904.40188544
2019-12-08,7507.2,7583.1,7400.0,7521.0,2035.40111552
2019-12-09,7518.7,7666.0,7256.7,7334.5,6674.37114463
2019-12-10,7334.5,7398.0,7160.0,7219.3,3914.44131465
2019-12-11,7218.7,7273.8,7125.0,7202.0,2841.93672577
2019-12-12,7201.9,7294.9,7077.0,7190.1,4286.99055883
2019-12-13,7190.2,7300.0,7182.7,7251.9,2900.50069874
2019-12-14,7251.9,7272.1,7010.0,7067.5,2770.37930834
2019-12-15,7067.5,7203.0,7010.0,7113.7,2347.93806361
2019-12-16,7112.8,7140.0,6800.0,6876.7,5102.80519991
2019-12-17,6877.4,6939.0,6563.0,6611.1,6131.25752861
2019-12-18,6612.9,7488.2,6430.2,7287.9,11212.51153387
2019-12-19,7293.4,7379.8,7045.0,7149.8,5337.33561706
2019-12-20,7150.5,7218.0,7076.7,7191.5,3440.04081588
2019-12-21,7191.6,7191.6,7117.6,7143.5,1353.22286945
2019-12-22,7143.5,7526.9,7124.0,7510.0,4534.82935907
2019-12-23,7510.1,7690.5,7265.0,7324.0,7541.527587
2019-12-24,7315.2,7420.4,7160.0,7253.3,4866.1343074
2019-12-25,7252.9,7271.8,7116.1,7192.1,3360.65679731
2019-12-26,7193.0,7428.9,7150.0,7195.5,3667.03100747
2019-12-27,7196.4,7255.0,6934.8,7246.4,3927.3940909
2019-12-28,7246.6,7350.0,7234.9,7300.1,2522.15801625
2019-12-29,7300.6,7531.4,7280.0,7391.0,3018.85255099
2019-12-30,7383.4,7383.4,7200.0,7209.7,3737.33575952
2019-12-31,7216.4,7301.1,7110.0,7168.3,2652.13508878
2020-01-01,7168.3,7235.0,7150.0,7174.4,1827.63489373
2020-01-02,7174.4,7185.8,6915.0,6942.3,4057.33154562
2020-01-03,6943.4,7397.3,6860.0,7334.8,8120.49140472
2020-01-04,7333.2,7396.4,7260.0,7350.2,2912.37313055
2020-01-05,7350.2,7493.3,7301.1,7346.9,2904.093494
2020-01-06,7347.2,7800.0,7339.2,7757.3,5994.0749446
2020-01-07,7760.0,8252.5,7727.1,8160.0,10390.75619972
2020-01-08,8160.3,8464.3,7875.0,8043.3,12263.4285554
2020-01-09,8043.3,8043.7,7749.9,7818.0,6127.63939749
2020-01-10,7818.1,8191.9,7666.3,8191.9,8032.13512482
2020-01-11,8191.9,8319.5,7999.3,8026.2,4806.77769559
2020-01-12,8023.3,8185.0,7951.2,8177.3,2330.06754714
2020-01-13,8177.3,8188.8,8036.8,8104.0,2714.88825152
2020-01-14,8104.1,8892.0,8104.1,8815.5,15537.34136256
2020-01-15,8815.5,8900.0,8560.0,8810.3,8031.77698958
2020-01-16,8808.4,8846.2,8579.4,8717.8,4960.81372289
2020-01-17,8717.9,9004.0,8657.7,8901.5,8148.70639247
2020-01-18,8898.5,8975.0,8810.0,8907.7,3915.30406409
2020-01-19,8905.3,9185.0,8470.0,8705.8,8532.3026769
2020-01-20,8705.8,8731.9,8510.0,8629.4,3779.4923618
2020-01-21,8628.7,8782.2,8333.0,8723.3,4521.51907233
2020-01-22,8723.3,8795.0,8565.4,8659.0,3097.91256918
2020-01-23,8658.9,8662.1,8281.0,8390.1,5865.70003157
2020-01-24,8390.1,8505.5,8215.2,8426.8,4582.86030911
2020-01-25,8426.8,8427.8,8253.3,8325.0,2513.01012983
2020-01-26,8325.1,8601.9,8285.0,8592.7,3516.66680936
2020-01-27,8599.3,8979.0,8565.0,8891.8,6287.21715108
2020-01-28,8891.8,9420.7,8873.9,9399.9,8030.84078641
2020-01-29,9395.0,9438.3,9222.6,9280.9,5598.64605243
2020-01-30,9281.2,9568.1,9060.0,9500.0,8016.28534864
