,open,high,low,volume,daily_return,close,side,per share profit/loss,SMA50,SMA100,Signal,Entry/Exit,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio Total,Portfolio Daily Returns,Portfolio Cumulative Returns
2019-12-31,26442.2,28353.2,25634.6,14257.99861732,-0.007178191610063056,26251.4,buy,0.0,24867.299999999996,24136.35,1.0,1.0,500.0,500.0,13125700.0,-13025700.0,100000.0,0.0,0.0
2020-01-01,26238.0,27460.9,26056.4,7871.34149982,0.02964032394462768,27029.5,sell,778.0999999999985,25627.86,24526.25,1.0,0.0,500.0,0.0,13514750.0,-13025700.0,489050.0,3.8905000000000003,3.8905000000000003
2020-01-02,27028.9,27400.0,25850.0,8698.45260361,0.01282672635453852,27376.2,sell,1124.7999999999993,26359.379999999997,24876.72,1.0,0.0,500.0,0.0,13688100.0,-13025700.0,662400.0,0.3544627338717923,5.6240000000000006
2020-01-03,27376.2,28972.1,27346.0,10428.39122144,0.05492727259444341,28879.9,sell,2628.5,27195.639999999996,25416.640000000003,1.0,0.0,500.0,0.0,14439950.0,-13025700.0,1414250.0,1.1350392512077296,13.142500000000002
2020-01-06,28880.0,29291.7,27844.0,7612.52438637,0.0027458543831522238,28959.2,sell,2707.7999999999993,27699.239999999998,26040.950000000004,1.0,0.0,500.0,0.0,14479600.0,-13025700.0,1453900.0,0.028036061516705013,13.539000000000003
2020-01-07,28959.4,29670.0,28672.3,5856.86897657,0.015183430481505056,29398.9,sell,3147.5,28328.739999999998,26598.02,1.0,0.0,500.0,0.0,14699450.0,-13025700.0,1673750.0,0.15121397620193955,15.737500000000004
2020-01-08,29398.7,33245.0,29028.7,19615.91350889,0.09659885233801258,32238.8,sell,5987.399999999998,29370.599999999995,27499.23,1.0,0.0,500.0,0.0,16119400.0,-13025700.0,3093700.0,0.8483644510828976,29.937000000000005
2020-01-09,32215.4,34771.0,32002.0,12135.92577129,0.026176532625283855,33082.7,sell,6831.299999999996,30511.899999999987,28435.640000000003,1.0,0.0,500.0,0.0,16541349.999999998,-13025700.0,3515649.999999998,0.13639008307204903,34.15649999999999
2020-01-10,33082.7,33652.3,27920.0,16125.62840498,-0.031276165488306466,32048.0,buy,0.0,31145.51999999999,29170.580000000005,1.0,0.0,500.0,0.0,16024000.0,-13025700.0,2998300.0,-0.14715628688862614,28.983000000000004
2020-01-13,32047.9,34499.0,29910.5,10982.67553728,0.062468796804792774,34050.0,sell,2002.0,32163.679999999986,29931.460000000003,1.0,0.0,500.0,0.0,17025000.0,-13025700.0,3999300.0,0.333855851649268,38.99300000000001
2020-01-14,34049.7,36989.0,33373.4,12345.59200165,0.08301615271659313,36876.7,sell,4828.699999999997,33659.23999999998,30993.99,1.0,0.0,500.0,0.0,18438350.0,-13025700.0,5412650.0,0.35339934488535496,53.126500000000014
2020-01-15,36873.4,40376.9,36201.0,16175.89556871,0.07083876811102963,39489.0,sell,7441.0,35109.279999999984,32239.940000000002,1.0,0.0,500.0,0.0,19744500.0,-13025700.0,6718800.0,0.24131432847126644,66.18800000000002
2020-01-16,39489.0,41989.0,36618.0,14072.21903592,0.029823495150548274,40666.7,sell,8618.699999999997,36626.07999999998,33568.990000000005,1.0,0.0,500.0,0.0,20333350.0,-13025700.0,7307650.0,0.08764213847710911,72.07650000000002
2020-01-17,40644.2,41418.0,38765.2,5989.36250679,-0.010195073610595351,40252.1,buy,0.0,38266.89999999998,34706.21,1.0,0.0,500.0,0.0,20126050.0,-13025700.0,7100350.0,-0.028367532654136385,70.00350000000003
2020-01-20,40256.8,41437.5,34875.0,14578.12038267,-0.051714072060836565,38170.5,buy,0.0,39090.999999999985,35627.34,1.0,0.0,500.0,0.0,19085250.0,-13025700.0,6059550.0,-0.14658432330800597,59.59550000000002
2020-01-21,38170.3,38249.9,30302.0,27061.98196231,-0.07155263881793528,35439.3,buy,0.0,38803.51999999998,36231.37999999999,1.0,0.0,500.0,0.0,17719650.0,-13025700.0,4693950.0,-0.22536326954971908,45.93950000000002
2020-01-22,35444.0,36626.6,32416.8,13744.95201747,-0.039303823721123184,34046.4,buy,0.0,37714.999999999985,36412.14,1.0,0.0,500.0,0.0,17023200.0,-13025700.0,3997500.0,-0.14837184034768158,38.975000000000016
2020-01-23,34038.2,37820.0,32349.9,13128.53982254,0.098210089759857,37390.1,sell,3343.699999999997,37059.67999999998,36842.87999999999,1.0,0.0,500.0,0.0,18695050.0,-13025700.0,5669350.0,0.41822388993120696,55.69350000000002
2020-01-24,37390.1,40115.0,36676.6,10488.49678433,0.04711140114629275,39151.6,sell,5105.199999999997,36839.57999999998,37553.23999999999,0.0,-1.0,0.0,-500.0,0.0,6550100.0,6550100.0,0.15535290641784338,64.50100000000003
2020-01-27,39121.5,39686.1,34371.0,13486.03839009,-0.06160156928452465,36739.8,buy,0.0,36553.43999999998,37822.21999999999,0.0,0.0,0.0,0.0,0.0,6550100.0,6550100.0,0.0,64.50100000000003
2020-01-28,36744.6,37947.5,35342.2,8842.42252093,-0.019738811860707032,36014.6,buy,0.0,36668.49999999998,37736.00999999999,0.0,0.0,0.0,0.0,0.0,6550100.0,6550100.0,0.0,64.50100000000003
2020-01-29,36010.5,36873.9,33850.0,9017.89627085,-0.005503323652074399,35816.4,buy,0.0,37022.49999999998,37368.749999999985,0.0,0.0,0.0,0.0,0.0,6550100.0,6550100.0,0.0,64.50100000000003
2020-01-30,35815.6,37400.0,34754.5,7464.62633774,0.02250644955941961,36622.5,sell,806.0999999999985,36868.979999999974,36964.32999999999,0.0,0.0,0.0,0.0,0.0,6550100.0,6550100.0,0.0,64.50100000000003
